ID,NAME,TYPE,ADDRESS,KREIS,INSTAGRAM,WEBSITE
1,Andres Thalmann,GALLERY,Talstrasse 66,KREIS_1,https://www.instagram.com/galerieandresthalmann,https://www.andresthalmann.com
2,ARS 28,GALLERY,Weinbergstrasse 17,KREIS_1,https://www.instagram.com/ars28gallery,https://www.ars28.ch
3,ARTEF Fine Art Photography Gallery,GALLERY,Splügenstrasse 11,KREIS_2,https://www.instagram.com/artefgalerie,https://www.artef.com
4,Art Forum Ute Barth,GALLERY,Kartausstrasse 8,KREIS_8,https://www.instagram.com/galerieutebarth,https://artforumutebarth.com
5,Bildhalle,GALLERY,Stauffacherquai 56,KREIS_4,https://www.instagram.com/bildhalle,https://www.bildhalle.ch
6,Galerie Adrienne Desbiolles,GALLERY,Münsterhof 4,KREIS_1,https://www.instagram.com/galerie_adrienne_desbiolles,https://www.galerieadriennedesbiolles.com
7,Gmurzynska,GALLERY,Paradeplatz 2,KREIS_1,https://www.instagram.com/gmurzynska,https://www.gmurzynska.com
8,Christophe Guye Galerie,GALLERY,Dufourstrasse 97,KREIS_8,https://www.instagram.com/christopheguyegalerie,https://christopheguye.com
9,Hauser & Wirth – Limmatstrasse,GALLERY,Limmatstrasse 270,KREIS_5,https://www.instagram.com/hauserwirth,https://www.hauserwirth.com
10,Hauser & Wirth – Bahnhofstrasse,GALLERY,Bahnhofstrasse 1,KREIS_1,https://www.instagram.com/hauserwirth,https://www.instagram.com/hauserwirth
11,Häusler Contemporary Zürich,GALLERY,Stampfenbachstrasse 59,KREIS_6,https://www.instagram.com/haeuslercontemporary,https://haeusler-contemporary.com
12,Havana Galerie und Sammlung,GALLERY,Dienerstrasse 30,KREIS_4,https://www.instagram.com/havanagalerie,http://www.havanagalerie.ch
13,Karma International,GALLERY,Weststrasse 75,KREIS_3,https://www.instagram.com/karmainternational,https://karmainternational.ch
14,Galerie König Büro,GALLERY,Birmensdorferstrasse 299,KREIS_3,https://www.instagram.com/koenig_buero,https://koenigbuero.ch
15,Lechbinska Gallery,GALLERY,Mühlebachstrasse 12,KREIS_8,https://www.instagram.com/lechbinska,https://lechbinska.com
